,max depth,n_estimators,training accuracy,training precision,training recall,training f1 score,test accuracy,test precision,test recall,test f1 score
18,7,178,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
19,7,200,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
20,8,10,0.9793103448275862,1.0,0.9776556776556777,0.9886331344131856,0.7857142857142857,0.984453781512605,0.7857142857142857,0.8606094772972199
21,8,31,1.0,1.0,1.0,1.0,0.8714285714285714,0.9507518796992481,0.8714285714285714,0.9043516483516483
22,8,52,1.0,1.0,1.0,1.0,0.8428571428571429,0.9597207303974221,0.8428571428571429,0.8921595655806183
23,8,73,1.0,1.0,1.0,1.0,0.9,0.9809523809523808,0.9,0.9371840606161164
24,8,94,1.0,1.0,1.0,1.0,0.9,0.9666666666666666,0.9,0.9302154195011338
25,8,115,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
26,8,136,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
27,8,157,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
28,8,178,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
29,8,200,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
30,10,10,0.9793103448275862,1.0,0.9776556776556777,0.9886331344131856,0.7857142857142857,0.984453781512605,0.7857142857142857,0.8606094772972199
31,10,31,1.0,1.0,1.0,1.0,0.8714285714285714,0.9507518796992481,0.8714285714285714,0.9043516483516483
32,10,52,1.0,1.0,1.0,1.0,0.8428571428571429,0.9597207303974221,0.8428571428571429,0.8921595655806183
33,10,73,1.0,1.0,1.0,1.0,0.9,0.9809523809523808,0.9,0.9371840606161164
34,10,94,1.0,1.0,1.0,1.0,0.9,0.9666666666666666,0.9,0.9302154195011338
35,10,115,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
36,10,136,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
37,10,157,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
38,10,178,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
39,10,200,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
40,15,10,0.9793103448275862,1.0,0.9776556776556777,0.9886331344131856,0.7857142857142857,0.984453781512605,0.7857142857142857,0.8606094772972199
41,15,31,1.0,1.0,1.0,1.0,0.8714285714285714,0.9507518796992481,0.8714285714285714,0.9043516483516483
42,15,52,1.0,1.0,1.0,1.0,0.8428571428571429,0.9597207303974221,0.8428571428571429,0.8921595655806183
43,15,73,1.0,1.0,1.0,1.0,0.9,0.9809523809523808,0.9,0.9371840606161164
44,15,94,1.0,1.0,1.0,1.0,0.9,0.9666666666666666,0.9,0.9302154195011338
45,15,115,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
46,15,136,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
47,15,157,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
48,15,178,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
49,15,200,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
50,20,10,0.9793103448275862,1.0,0.9776556776556777,0.9886331344131856,0.7857142857142857,0.984453781512605,0.7857142857142857,0.8606094772972199
